resume_skills,jd_skills,projects,internships,certifications,cgpa,ats_score
github actions kubernetes linux terraform excel,docker kubernetes linux jenkins terraform github actions,3,3,3,6.9,72.95
rag docker prompt engineering llm langchain transformers vector database python,python llm rag langchain transformers vector database prompt engineering,2,0,1,8.0,84.5
css express nodejs javascript html,react nodejs mongodb javascript html css express,5,2,3,6.6,77.37
react css nodejs numpy statistics javascript html,react nodejs mongodb javascript html css express,4,2,4,7.5,77.32
power bi system design terraform dsa java,java dsa oops dbms system design sql,1,1,5,8.8,54.4
rag prompt engineering langchain llm transformers vector database python,python llm rag langchain transformers vector database prompt engineering,3,0,3,7.9,89.45
data analysis mlops computer vision nlp pytorch python tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,3,2,2,9.0,83.79
kubernetes docker terraform mlops jenkins,docker kubernetes linux jenkins terraform github actions,5,1,0,9.2,67.6
azure cloud security linux aws gcp terraform prompt engineering java,aws azure gcp cloud security terraform linux,2,2,5,9.5,97.25
rag prompt engineering langchain llm transformers vector database python excel,python llm rag langchain transformers vector database prompt engineering,4,2,0,8.2,93.1
react css mongodb nodejs langchain javascript html,react nodejs mongodb javascript html css express,2,1,4,9.3,81.94
sql tableau statistics dbms python excel,python sql power bi excel tableau statistics data visualization,2,2,1,7.3,68.72
system design sql numpy dsa java oops,java dsa oops dbms system design sql,3,3,0,9.6,82.3
system design llm oops java dbms python,java dsa oops dbms system design sql,4,2,1,7.8,69.4
react css mongodb express nodejs gcp javascript html,react nodejs mongodb javascript html css express,5,3,0,9.1,98.55
linux gcp kubernetes,docker kubernetes linux jenkins terraform github actions,2,3,4,7.9,47.95
data analysis numpy statistics computer vision python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,4,0,4,6.9,71.02
llm langchain vector database,python llm rag langchain transformers vector database prompt engineering,4,0,4,7.2,49.74
azure cloud security aws linux gcp terraform vector database,aws azure gcp cloud security terraform linux,2,2,0,8.5,89.25
linux tableau terraform,docker kubernetes linux jenkins terraform github actions,5,0,0,8.1,39.05
mongodb cloud security aws linux terraform gcp nlp,aws azure gcp cloud security terraform linux,5,1,0,7.1,79.05
power bi sql tableau data visualization python excel,python sql power bi excel tableau statistics data visualization,3,1,0,9.0,77.79
deep learning nlp tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,5,1,5,7.6,56.44
system design sql oops java jenkins dbms,java dsa oops dbms system design sql,3,3,4,8.1,87.55
github actions kubernetes docker linux terraform deep learning jenkins python,docker kubernetes linux jenkins terraform github actions,5,3,4,6.7,100.0
transformers python,python llm rag langchain transformers vector database prompt engineering,4,2,4,9.4,46.13
statistics python system design tableau,python sql power bi excel tableau statistics data visualization,5,0,0,7.6,45.94
cloud security react azure,aws azure gcp cloud security terraform linux,5,0,2,9.7,42.85
azure aws terraform gcp dbms,aws azure gcp cloud security terraform linux,2,0,4,9.1,64.55
react css mongodb express nodejs javascript html,react nodejs mongodb javascript html css express,4,2,5,8.9,100.0
statistics python machine learning pandas,python machine learning statistics pandas numpy tensorflow data analysis,3,3,2,8.0,64.86
react css mongodb express nodejs data analysis javascript html,react nodejs mongodb javascript html css express,5,0,2,9.5,92.75
express react css javascript,react nodejs mongodb javascript html css express,3,2,4,8.4,65.06
github actions power bi kubernetes docker linux terraform,docker kubernetes linux jenkins terraform github actions,3,2,4,8.3,84.65
power bi sql express tableau statistics data visualization python excel,python sql power bi excel tableau statistics data visualization,3,1,5,7.9,95.45
llm dsa deep learning computer vision nlp python tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,1,2,5,9.3,73.72
power bi sql langchain statistics data visualization python,python sql power bi excel tableau statistics data visualization,1,0,5,9.2,56.96
rag transformers,python llm rag langchain transformers vector database prompt engineering,4,1,1,7.0,37.43
deep learning computer vision pytorch python tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,3,2,0,7.7,69.42
github actions prompt engineering langchain llm vector database python,python llm rag langchain transformers vector database prompt engineering,1,1,5,7.7,69.92
vector database nlp css pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,3,3,3,8.9,45.38
power bi data analysis statistics machine learning pytorch,python machine learning statistics pandas numpy tensorflow data analysis,2,1,4,9.5,49.89
react css mongodb express nodejs computer vision html,react nodejs mongodb javascript html css express,1,3,4,6.7,84.64
java dbms,java dsa oops dbms system design sql,5,2,3,8.1,49.55
github actions azure docker kubernetes terraform jenkins,docker kubernetes linux jenkins terraform github actions,3,1,4,8.3,69.15
java tableau dbms,java dsa oops dbms system design sql,4,2,0,8.6,43.3
rag prompt engineering langchain transformers vector database,python llm rag langchain transformers vector database prompt engineering,4,2,1,7.4,72.77
rag kubernetes langchain python pandas,python llm rag langchain transformers vector database prompt engineering,3,3,1,9.7,53.49
system design data analysis statistics machine learning pandas html,python machine learning statistics pandas numpy tensorflow data analysis,5,1,2,8.1,62.91
data analysis numpy statistics machine learning python,python machine learning statistics pandas numpy tensorflow data analysis,3,1,2,7.5,69.32
sql tableau numpy statistics machine learning data visualization python excel,python sql power bi excel tableau statistics data visualization,2,1,3,8.0,79.79
power bi sql tableau data visualization python excel,python sql power bi excel tableau statistics data visualization,2,3,2,7.2,83.89
system design sql numpy oops java dbms html,java dsa oops dbms system design sql,5,1,1,7.9,80.95
sql cloud security tableau statistics python,python sql power bi excel tableau statistics data visualization,1,1,0,9.5,52.61
linux aws mlops deep learning nlp tensorflow python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,2,2,4,8.5,84.54
dsa java system design dbms,java dsa oops dbms system design sql,5,2,5,9.6,78.3
docker jenkins terraform kubernetes,docker kubernetes linux jenkins terraform github actions,1,0,0,8.0,56.0
oops java system design sql,java dsa oops dbms system design sql,3,3,1,8.8,70.9
rag sql langchain dsa vector database python,python llm rag langchain transformers vector database prompt engineering,5,0,2,6.7,59.21
github actions kubernetes docker linux terraform jenkins pytorch,docker kubernetes linux jenkins terraform github actions,1,2,3,8.3,91.65
mlops deep learning computer vision transformers nlp jenkins python tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,2,2,5,8.8,86.19
statistics numpy tensorflow pandas,python machine learning statistics pandas numpy tensorflow data analysis,3,1,1,8.2,57.46
power bi system design mongodb oops java dbms,java dsa oops dbms system design sql,4,2,0,7.3,67.65
react mongodb computer vision javascript html,react nodejs mongodb javascript html css express,4,3,2,7.7,66.71
python numpy,python machine learning statistics pandas numpy tensorflow data analysis,4,2,4,7.2,45.03
statistics python data analysis,python machine learning statistics pandas numpy tensorflow data analysis,5,2,5,9.1,49.48
python machine learning tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,2,3,1,8.3,50.79
css mlops deep learning computer vision nlp python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,1,3,4,7.0,84.79
nodejs linux aws terraform gcp transformers,aws azure gcp cloud security terraform linux,1,2,0,7.0,61.5
python computer vision data analysis tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,5,1,3,7.4,53.34
mlops statistics computer vision pytorch nlp python tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,2,1,0,9.3,75.94
mongodb html,react nodejs mongodb javascript html css express,4,3,0,9.2,43.03
css tableau javascript data visualization python,python sql power bi excel tableau statistics data visualization,1,3,0,9.5,47.89
mongodb data analysis numpy statistics machine learning nlp python pandas,python machine learning statistics pandas numpy tensorflow data analysis,1,3,2,8.4,82.49
data analysis pytorch tensorflow pandas,python machine learning statistics pandas numpy tensorflow data analysis,4,3,0,9.1,53.69
linux kubernetes,docker kubernetes linux jenkins terraform github actions,5,1,0,9.6,42.8
docker linux terraform jenkins pandas,docker kubernetes linux jenkins terraform github actions,3,2,5,7.7,60.85
statistics sql tensorflow pandas,python machine learning statistics pandas numpy tensorflow data analysis,1,3,3,9.1,52.19
python computer vision deep learning pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,2,0,1,7.0,51.86
cloud security terraform mlops computer vision nlp,python tensorflow pytorch deep learning nlp computer vision mlops,3,3,4,8.9,57.59
express javascript,react nodejs mongodb javascript html css express,3,3,3,8.0,44.93
mlops deep learning system design tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,2,0,2,7.1,42.69
rag react llm transformers vector database python,python llm rag langchain transformers vector database prompt engineering,3,2,2,6.9,72.02
sql mongodb express data visualization python,python sql power bi excel tableau statistics data visualization,2,1,2,9.4,46.84
kubernetes prompt engineering tableau llm langchain transformers vector database python,python llm rag langchain transformers vector database prompt engineering,5,2,1,6.9,85.24
system design sql oops java dbms,java dsa oops dbms system design sql,3,0,3,8.4,77.2
power bi mlops deep learning computer vision dsa nlp python tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,3,1,5,9.8,85.69
mongodb javascript,react nodejs mongodb javascript html css express,3,2,5,9.1,45.48
rag github actions prompt engineering langchain llm terraform transformers vector database python,python llm rag langchain transformers vector database prompt engineering,3,2,2,9.1,94.55
system design sql dsa java dbms,java dsa oops dbms system design sql,4,1,5,8.0,85.0
express prompt engineering gcp azure,aws azure gcp cloud security terraform linux,2,3,5,8.2,49.6
python machine learning data analysis,python machine learning statistics pandas numpy tensorflow data analysis,3,0,4,9.6,48.94
express computer vision nodejs,react nodejs mongodb javascript html css express,4,1,0,7.5,36.18
statistics machine learning data analysis,python machine learning statistics pandas numpy tensorflow data analysis,5,3,4,8.9,50.88
